Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,516476402,6626.130319585148,3557106,45.63586608276109,675952,6258023,80.28726149033466,11092,0.14230473496994048,1623,
United States of America,Americas,81178013,24524.883,492020,148.645,156260,990599,299.272,2568,0.776,339
India,South-East Asia,43110586,3123.946,22468,1.628,2897,524157,37.982,237,0.017,54
Brazil,Americas,30574245,14383.858,113248,53.278,9709,664192,312.474,590,0.278,53
France,Europe,28172780,43316.509,250885,385.743,48584,143723,220.979,710,1.092,123
Germany,Europe,25503878,30665.969,422268,507.737,69020,136987,164.714,80,0.096,5
The United Kingdom,Europe,22144632,32620.32,59282,87.326,5218,176687,260.27,540,0.795,12
Russian Federation,Europe,18241329,12499.672,35162,24.094,4102,377248,258.505,827,0.567,98
Republic of Korea,Western Pacific,17658794,34443.29,263022,513.022,43925,23491,45.819,412,0.804,29
Italy,Europe,16872618,28290.069,286350,480.119,56199,164731,276.202,842,1.412,158
Turkey,Europe,15046779,17840.817,10669,12.65,1858,98861,117.219,60,0.071,7
Spain,Europe,12058888,25476.911,105407,222.694,49829,105123,222.094,476,1.006,222
Viet Nam,Western Pacific,10681214,10973.259,21856,22.454,2855,43058,44.235,14,0.014,1
Argentina,Americas,9101319,20137.544,17646,39.043,0,128729,284.825,76,0.168,0
Japan,Western Pacific,8172238,6461.47,220046,173.982,39041,29894,23.636,211,0.167,51
Netherlands,Europe,8063029,46319.056,10007,57.486,1586,22281,127.996,19,0.109,3
Iran (Islamic Republic of),Eastern Mediterranean,7226219,8603.364,2643,3.147,460,141192,168.1,61,0.073,3
Australia,Western Pacific,6328508,24817.791,305766,1199.088,48015,7565,29.667,254,0.996,49
Colombia,Americas,6093645,11975.823,978,1.922,0,139809,274.766,12,0.024,0
Indonesia,South-East Asia,6049541,2211.707,2050,0.749,400,156424,57.188,103,0.038,8
Poland,Europe,6001893,15811.874,3895,10.261,566,116164,306.032,94,0.248,14
Mexico,Americas,5745652,4456.317,2292,1.778,0,324465,251.654,6,0.005,0
Ukraine,Europe,5006460,11447.587,3590,8.209,0,108449,247.975,38,0.087,0
Malaysia,Western Pacific,4463740,13791.448,11959,36.949,2605,35590,109.961,26,0.08,6
Thailand,South-East Asia,4345218,6225.243,54394,77.928,7650,29252,41.908,392,0.562,56
Austria,Europe,4231050,47534.205,36813,413.58,4787,19816,222.625,51,0.573,3
Belgium,Europe,4102082,35600.81,17516,152.016,0,31580,274.074,45,0.391,0
Israel,Europe,4098807,47354.718,14564,168.262,2021,10749,124.186,3,0.035,1
Portugal,Europe,3991041,38763.367,99866,969.958,20482,22500,218.533,142,1.379,27
Czechia,Europe,3914113,36601.228,4917,45.979,755,40233,376.222,37,0.346,1
South Africa,Africa,3844625,6482.397,42427,71.536,0,100533,169.508,156,0.263,0
Canada,Americas,3794896,10054.794,30050,79.619,2060,39788,105.421,338,0.896,5
Philippines,Western Pacific,3687320,3364.924,1104,1.007,127,60439,55.155,27,0.025,0
Switzerland,Europe,3631884,41964.694,9684,111.894,3,13217,152.716,7,0.081,0
Chile,Americas,3583227,18744.451,19577,102.411,1853,57642,301.535,98,0.513,3
Peru,Americas,3570075,10827.644,3552,10.773,293,212957,645.875,92,0.279,11
Greece,Europe,3371051,31450.581,35501,331.21,6416,29444,274.701,195,1.819,27
Denmark,Europe,3124899,53666.945,5800,99.609,1003,6252,107.372,61,1.048,8
Romania,Europe,2900375,15005.429,4363,22.572,812,65581,339.291,71,0.367,15
Sweden,Europe,2503090,24236.925,837,8.105,0,18824,182.269,0,0,0
Iraq,Eastern Mediterranean,2325871,5782.513,584,1.452,131,25215,62.689,3,0.007,1
Serbia,Europe,2010961,29032,3407,49.186,466,16037,231.524,30,0.433,4
Bangladesh,South-East Asia,1952855,1185.781,112,0.068,0,29127,17.686,0,0,0
Hungary,Europe,1909948,19550.058,6748,69.072,6748,46343,474.363,77,0.788,77
Slovakia,Europe,1785978,32722.967,2625,48.096,443,20002,366.48,59,1.081,8
Jordan,Eastern Mediterranean,1696054,16622.873,84,0.823,0,14066,137.86,0,0,0
Georgia,Europe,1655221,41492.815,0,0,0,16811,421.415,0,0,0
Pakistan,Eastern Mediterranean,1528833,692.117,877,0.397,31,30375,13.751,6,0.003,0
Ireland,Europe,1527328,30765.363,5280,106.356,424,7167,144.367,37,0.745,6
China,Western Pacific,1428927,97.121,277804,18.882,51290,15493,1.053,164,0.011,24
Norway,Europe,1428333,26610.372,1534,28.579,167,3006,56.003,0,0,0
Kazakhstan,Europe,1394649,7427.548,104,0.554,5,19014,101.264,1,0.005,0
Singapore,Western Pacific,1225024,20939.357,22478,384.217,4831,1356,23.178,18,0.308,4
Morocco,Eastern Mediterranean,1165366,3157.27,362,0.981,83,16071,43.54,2,0.005,0
Bulgaria,Europe,1160347,16692.081,2428,34.928,422,37007,532.361,60,0.863,13
Croatia,Europe,1128239,27801.703,4661,114.855,440,15899,391.778,51,1.257,3
Cuba,Americas,1104110,9747.925,715,6.313,53,8528,75.292,1,0.009,1
Lebanon,Eastern Mediterranean,1097643,16081.633,525,7.692,68,10402,152.4,10,0.147,2
Lithuania,Europe,1060058,37939.293,1064,38.08,198,9123,326.511,12,0.429,1
Finland,Europe,1052767,19053.599,1459,26.406,0,4150,75.109,0,0,0
Tunisia,Eastern Mediterranean,1041197,8809.803,1004,8.495,0,28575,241.78,25,0.212,0
Slovenia,Europe,1016993,48523.876,5656,269.865,982,7697,367.248,13,0.62,1
New Zealand,Western Pacific,1009876,20942.082,52135,1081.138,8047,855,17.73,102,2.115,29
Belarus,Europe,982867,10401.456,1999,21.155,58,6978,73.847,24,0.254,4
Nepal,South-East Asia,978978,3359.936,94,0.323,18,11952,41.02,0,0,0
Mongolia,Western Pacific,922227,28131.343,802,24.464,0,2111,64.393,1,0.031,0
Bolivia (Plurinational State of),Americas,905453,7756.801,356,3.05,0,21925,187.826,2,0.017,0
Uruguay,Americas,902540,25981.87,2817,81.094,0,7213,207.644,3,0.086,0
United Arab Emirates,Eastern Mediterranean,900764,9107.456,1522,15.389,280,2302,23.275,0,0,0
Ecuador,Americas,871029,4936.951,1126,6.382,0,35602,201.79,4,0.023,0
Costa Rica,Americas,857290,16829.017,5216,102.393,0,8421,165.308,16,0.314,0
Guatemala,Americas,849552,4741.976,2920,16.299,57,17703,98.814,90,0.502,4
Latvia,Europe,824926,43242.481,1816,95.194,291,5792,303.616,15,0.786,2
Azerbaijan,Europe,792638,7817.579,53,0.523,6,9709,95.757,0,0,0
Panama,Americas,789830,18305.276,12172,282.101,1359,8194,189.906,9,0.209,1
Saudi Arabia,Eastern Mediterranean,756549,2173.125,2209,6.345,569,9104,26.15,11,0.032,0
Sri Lanka,South-East Asia,663597,3099.002,128,0.598,0,16509,77.097,2,0.009,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,657193,12882.566,133,2.607,0,5657,110.891,0,0,0
Paraguay,Americas,649718,9109.212,263,3.687,0,18872,264.59,2,0.028,0
Kuwait,Eastern Mediterranean,632074,14800.691,247,5.784,0,2555,59.828,0,0,0
Myanmar,South-East Asia,613066,1126.757,101,0.186,0,19434,35.718,0,0,0
Dominican Republic,Americas,580020,5346.836,448,4.13,0,4376,40.34,0,0,0
Puerto Rico,Americas,576871,20164.301,30879,1079.363,615,4234,147.998,19,0.664,2
Bahrain,Eastern Mediterranean,574401,33757.019,4674,274.687,644,1477,86.802,1,0.059,0
Estonia,Europe,573922,43185.279,861,64.787,0,2556,192.329,5,0.376,0
Venezuela (Bolivarian Republic of),Americas,522749,1838.339,235,0.826,0,5709,20.077,0,0,0
Republic of Moldova,Europe,518166,12845.086,413,10.238,0,11516,285.476,13,0.322,0
Egypt,Eastern Mediterranean,513846,502.124,56,0.055,0,24669,24.106,28,0.027,0
Libya,Eastern Mediterranean,501919,7304.58,3,0.044,0,6430,93.578,0,0,0
Cyprus,Europe,483664,54466.36,3444,387.836,0,1027,115.653,12,1.351,0
Ethiopia,Africa,470760,409.486,151,0.131,0,7510,6.533,0,0,0
Honduras,Americas,424365,4284.521,647,6.532,486,10895,109.999,2,0.02,0
Armenia,Europe,422900,14271.57,23,0.776,0,8623,291,1,0.034,0
Réunion,Africa,405980,45345.086,7865,878.465,0,762,85.11,6,0.67,0
Oman,Eastern Mediterranean,389325,7623.918,199,3.897,19,4259,83.401,1,0.02,0
Bosnia and Herzegovina,Europe,377385,11502.782,210,6.401,30,15773,480.765,5,0.152,2
Qatar,Eastern Mediterranean,365495,12686.16,717,24.887,161,677,23.498,0,0,0
Kenya,Africa,323900,602.366,104,0.193,0,5649,10.506,0,0,0
Zambia,Africa,319755,1739.316,0,0,0,3976,21.628,0,0,0
North Macedonia,Europe,310413,14899.49,625,29.999,115,9287,445.766,1,0.048,0
Botswana,Africa,306200,13020.772,0,0,0,2690,114.389,0,0,0
Albania,Europe,275416,9570.366,225,7.818,44,3497,121.516,1,0.035,0
Algeria,Africa,265800,606.143,18,0.041,0,6875,15.678,0,0,0
Nigeria,Africa,255766,124.074,0,0,0,3143,1.525,0,0,0
Zimbabwe,Africa,247842,1667.518,0,0,0,5469,36.796,0,0,0
Luxembourg,Europe,242194,38682.464,2859,456.63,16,1071,171.057,5,0.799,1
Uzbekistan,Europe,238747,713.333,111,0.332,4,1637,4.891,0,0,0
Montenegro,Europe,235939,37566.196,539,85.82,107,2717,432.601,2,0.318,0
Kosovo[1],Europe,228107,12703.198,52,2.896,4,3128,174.197,0,0,0
Mozambique,Africa,225430,721.251,43,0.138,0,2201,7.042,0,0,0
Mauritius,Africa,222848,17522.693,0,0,0,996,78.316,0,0,0
Lao People's Democratic Republic,Western Pacific,209028,2873.016,1180,16.219,89,752,10.336,6,0.082,1
Kyrgyzstan,Europe,200993,3080.734,0,0,0,2991,45.845,0,0,0
Iceland,Europe,186179,51129.255,438,120.285,90,120,32.955,1,0.275,0
Maldives,South-East Asia,179483,33204.142,55,10.175,0,298,55.13,0,0,0
Afghanistan,Eastern Mediterranean,179066,459.989,165,0.424,56,7686,19.744,3,0.008,1
Uganda,Africa,164153,358.875,29,0.063,0,3598,7.866,0,0,0
El Salvador,Americas,162089,2498.981,0,0,0,4129,63.658,1,0.015,1
Ghana,Africa,161269,519.001,47,0.151,0,1445,4.65,0,0,0
Namibia,Africa,159052,6259.659,241,9.485,0,4026,158.447,1,0.039,0
